epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7203,2.2525,7.58076,2.09017,0.544,0.53398,0.48872,0.22085,1.65348,1.59009,1.65893,0.0707143,0.00325397,0.00325397
2,34.5605,1.79536,1.99312,1.63233,0.49576,0.30549,0.3921,0.15665,1.68767,2.15119,1.55785,0.0406491,0.00652209,0.00652209
3,45.9952,1.78735,2.21737,1.6083,0.478,0.34951,0.30292,0.10369,2.25432,3.34969,1.89853,0.0105179,0.00972421,0.00972421
4,58.6167,1.92961,2.0036,1.62806,0.66943,0.4466,0.47643,0.20152,1.94066,5.15686,1.78501,0.009703,0.009703,0.009703
5,70.9414,1.9278,2.0842,1.718,0.47212,0.31068,0.31773,0.13564,2.04837,2.48428,1.97632,0.009604,0.009604,0.009604
6,82.815,1.94045,2.19413,1.67516,0.27463,0.31068,0.2023,0.06392,2.20281,3.58703,1.92411,0.009505,0.009505,0.009505
7,94.7456,1.99582,2.34211,1.65652,0.54226,0.40777,0.37099,0.12318,2.01423,3.6049,1.79829,0.009406,0.009406,0.009406
8,106.64,1.89778,2.09331,1.66425,0.24073,0.34951,0.20768,0.08134,2.03289,3.57905,1.87704,0.009307,0.009307,0.009307
9,118.542,1.86965,1.9756,1.63792,0.53703,0.47573,0.47327,0.19171,2.04871,2.06841,1.93905,0.009208,0.009208,0.009208
10,131.088,1.92754,2.00152,1.71332,0.43685,0.47573,0.42081,0.1586,2.11403,2.01896,1.87055,0.009109,0.009109,0.009109
11,142.904,1.85634,1.94958,1.72474,0.4403,0.54228,0.38734,0.16689,2.14033,2.32946,2.06097,0.00901,0.00901,0.00901
12,154.5,1.87436,1.89623,1.67039,0.65537,0.49853,0.49491,0.19352,2.04709,2.77795,1.8361,0.008911,0.008911,0.008911
13,165.851,1.85873,1.86616,1.66942,0.60094,0.52635,0.48455,0.20484,1.98509,1.86778,1.76042,0.008812,0.008812,0.008812
14,178.372,1.82322,1.68376,1.61999,0.68471,0.37864,0.40139,0.16589,2.13499,2.07307,1.83492,0.008713,0.008713,0.008713
15,190.349,1.77256,1.7593,1.61749,0.62923,0.58252,0.59205,0.25938,1.90144,1.58781,1.71164,0.008614,0.008614,0.008614
16,201.625,1.75859,1.69353,1.59112,0.73178,0.47573,0.50896,0.21332,2.15172,1.81847,1.86669,0.008515,0.008515,0.008515
17,214.713,1.72329,1.61267,1.58225,0.6704,0.54369,0.53573,0.21774,2.03336,1.67702,1.75341,0.008416,0.008416,0.008416
18,226.08,1.67342,1.57418,1.53981,0.60306,0.64078,0.59084,0.24129,2.02046,1.74598,1.78869,0.008317,0.008317,0.008317
19,237.561,1.66477,1.57094,1.53274,0.71167,0.54369,0.56261,0.23924,1.96256,1.61984,1.68297,0.008218,0.008218,0.008218
20,249.104,1.62123,1.53686,1.48422,0.79443,0.54369,0.57502,0.24675,2.04875,2.24919,1.82068,0.008119,0.008119,0.008119
21,260.727,1.59126,1.47372,1.4844,0.6845,0.56876,0.59815,0.27485,1.83232,1.60939,1.60996,0.00802,0.00802,0.00802
22,272.248,1.58544,1.40487,1.46108,0.84102,0.54369,0.649,0.32701,1.84367,1.44231,1.63243,0.007921,0.007921,0.007921
23,283.736,1.58723,1.45658,1.48088,0.78449,0.5534,0.62552,0.28377,1.83035,1.39363,1.62849,0.007822,0.007822,0.007822
24,295.462,1.54183,1.3618,1.44532,0.82291,0.56311,0.66132,0.31032,1.87894,1.63459,1.62417,0.007723,0.007723,0.007723
25,306.398,1.54571,1.32336,1.42132,0.75267,0.61165,0.64932,0.28109,1.96637,1.51127,1.80482,0.007624,0.007624,0.007624
26,319.683,1.50444,1.26742,1.42146,0.69663,0.64078,0.64826,0.29338,1.94344,1.43636,1.7512,0.007525,0.007525,0.007525
27,330.833,1.46794,1.26947,1.38496,0.75729,0.5534,0.59179,0.27875,1.90837,1.49805,1.69091,0.007426,0.007426,0.007426
