epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3084,2.20897,7.04186,2.00643,0.57761,0.46469,0.46121,0.23252,1.52109,1.5041,1.52174,0.0707143,0.00325397,0.00325397
2,26.5078,1.65498,1.82016,1.49379,0.42296,0.26332,0.2348,0.08176,1.74497,2.44413,1.74163,0.0406817,0.00655469,0.00655469
3,36.2999,1.75829,1.98511,1.50001,0.67369,0.48544,0.47492,0.19456,1.79087,3.09696,1.56463,0.0106161,0.00982242,0.00982242
4,47.2547,1.92215,2.04549,1.53099,0.5624,0.32039,0.36379,0.15149,1.94243,2.6591,1.72727,0.0098515,0.0098515,0.0098515
5,58.0615,1.93345,1.92609,1.57943,0.27528,0.30097,0.19069,0.07696,2.16654,2.81139,1.94275,0.009802,0.009802,0.009802
6,68.4453,1.93543,2.07695,1.61249,0.486,0.3301,0.34344,0.13969,2.16897,2.50379,1.89936,0.0097525,0.0097525,0.0097525
7,78.9309,1.91245,1.99544,1.57269,0.41417,0.49515,0.40947,0.16269,2.02857,3.34131,1.7857,0.009703,0.009703,0.009703
8,90.5984,1.92363,1.8492,1.64128,0.35139,0.41028,0.27641,0.08473,2.10143,3.16598,1.85639,0.0096535,0.0096535,0.0096535
9,100.878,1.82741,1.82855,1.59797,0.57673,0.38835,0.40008,0.13712,2.17164,1.97825,1.84082,0.009604,0.009604,0.009604
10,112.127,1.86823,1.86822,1.5794,0.56092,0.40932,0.39685,0.13955,2.41111,2.32172,2.13809,0.0095545,0.0095545,0.0095545
11,123.138,1.84931,1.72225,1.56055,0.40068,0.42718,0.3553,0.14455,2.19577,2.20375,1.93863,0.009505,0.009505,0.009505
12,135.119,1.78282,1.64113,1.51913,0.54997,0.47573,0.46876,0.19631,2.05639,2.16761,1.81878,0.0094555,0.0094555,0.0094555
13,145.677,1.83544,1.74829,1.55422,0.53154,0.39806,0.44387,0.18419,1.94694,2.24621,1.82536,0.009406,0.009406,0.009406
14,156.243,1.75698,1.60815,1.5387,0.63789,0.40777,0.38215,0.1459,2.17811,2.5063,1.84047,0.0093565,0.0093565,0.0093565
15,167.153,1.72475,1.60729,1.46879,0.50806,0.34092,0.32487,0.0981,2.33403,2.28587,2.06079,0.009307,0.009307,0.009307
16,177.519,1.70905,1.56411,1.48986,0.60966,0.59139,0.56336,0.24464,2.01236,1.84418,1.71199,0.0092575,0.0092575,0.0092575
17,188.488,1.71282,1.54179,1.5027,0.47489,0.48544,0.41027,0.16334,2.13544,2.13961,1.91262,0.009208,0.009208,0.009208
18,199.239,1.73934,1.47819,1.5176,0.78894,0.53398,0.58744,0.25078,2.09968,1.78515,1.81724,0.0091585,0.0091585,0.0091585
19,210.516,1.70882,1.47833,1.49084,0.71037,0.45247,0.51288,0.21002,2.09429,1.93571,1.7979,0.009109,0.009109,0.009109
20,220.83,1.66196,1.48805,1.44657,0.67111,0.5349,0.56382,0.24301,1.89373,1.63518,1.73312,0.0090595,0.0090595,0.0090595
21,231.571,1.6129,1.4489,1.41648,0.69168,0.56633,0.53928,0.18952,2.06198,1.64378,1.83533,0.00901,0.00901,0.00901
22,241.945,1.65251,1.39187,1.44037,0.62376,0.56311,0.53975,0.23065,1.83695,1.74752,1.62725,0.0089605,0.0089605,0.0089605
23,251.992,1.58837,1.30529,1.40211,0.69844,0.59223,0.64557,0.30044,2.00155,1.59531,1.73536,0.008911,0.008911,0.008911
24,263.031,1.62039,1.35436,1.42298,0.73166,0.50485,0.57018,0.22732,2.06319,1.62661,1.82912,0.0088615,0.0088615,0.0088615
25,273.281,1.56764,1.29212,1.40753,0.56976,0.51456,0.45574,0.17953,2.12477,1.77287,1.82389,0.008812,0.008812,0.008812
26,284.438,1.56336,1.33136,1.40582,0.65173,0.59956,0.56508,0.22887,1.83503,1.54674,1.70809,0.0087625,0.0087625,0.0087625
27,295.068,1.53948,1.24858,1.39145,0.75632,0.57282,0.59943,0.24425,1.90882,1.67125,1.75147,0.008713,0.008713,0.008713
28,306.149,1.51025,1.25634,1.37255,0.78055,0.54369,0.62696,0.2588,2.01317,1.59584,1.82532,0.0086635,0.0086635,0.0086635
29,316.14,1.55959,1.31566,1.36597,0.71475,0.56311,0.53026,0.2446,2.03231,1.50967,1.80722,0.008614,0.008614,0.008614
30,326.506,1.49876,1.26066,1.35099,0.76496,0.56311,0.58401,0.24378,1.99716,1.52597,1.81794,0.0085645,0.0085645,0.0085645
31,337.628,1.49723,1.18328,1.3434,0.7843,0.63544,0.64447,0.28345,1.96909,1.38924,1.76646,0.008515,0.008515,0.008515
32,348.727,1.49316,1.1891,1.33562,0.78421,0.58252,0.61928,0.2537,2.12229,1.56092,1.89104,0.0084655,0.0084655,0.0084655
1,14.6268,2.16092,8.2069,1.96884,0.09179,0.36893,0.05807,0.01888,2.16663,5.76186,2.13932,0.000650794,0.000650794,0.000650794
2,26.8292,2.2314,3.00788,2.01166,0.00055,0.18447,0.00036,0.0001,4.26154,inf,115.571,0.00131094,0.00131094,0.00131094
3,37.1018,2.35244,2.84522,2.21668,0.0002,0.07767,0.00011,3e-05,nan,nan,nan,0.00196448,0.00196448,0.00196448
4,47.4548,2.35453,2.73826,2.2373,0.00352,0.03883,0.00139,0.00039,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,58.702,2.30685,2.53209,2.17507,0.00076,0.26214,0.00048,0.00016,nan,nan,nan,0.0019604,0.0019604,0.0019604
1,13.9736,2.20897,7.04186,2.00643,0.57761,0.46469,0.46121,0.23252,1.52109,1.5041,1.52174,0.0707143,0.00325397,0.00325397
2,26.2649,1.65498,1.82016,1.49379,0.42296,0.26332,0.2348,0.08176,1.74497,2.44413,1.74163,0.0406817,0.00655469,0.00655469
3,36.1262,1.75829,1.98511,1.50001,0.67369,0.48544,0.47492,0.19456,1.79087,3.09696,1.56463,0.0106161,0.00982242,0.00982242
4,46.5874,1.92215,2.04549,1.53099,0.5624,0.32039,0.36379,0.15149,1.94243,2.6591,1.72727,0.0098515,0.0098515,0.0098515
5,57.7568,1.93345,1.92609,1.57943,0.27528,0.30097,0.19069,0.07696,2.16654,2.81139,1.94275,0.009802,0.009802,0.009802
6,69.1586,1.93543,2.07695,1.61249,0.486,0.3301,0.34344,0.13969,2.16897,2.50379,1.89936,0.0097525,0.0097525,0.0097525
7,80.7517,1.91245,1.99544,1.57269,0.41417,0.49515,0.40947,0.16269,2.02857,3.34131,1.7857,0.009703,0.009703,0.009703
8,92.0882,1.92363,1.8492,1.64128,0.35139,0.41028,0.27641,0.08473,2.10143,3.16598,1.85639,0.0096535,0.0096535,0.0096535
9,102.755,1.82741,1.82855,1.59797,0.57673,0.38835,0.40008,0.13712,2.17164,1.97825,1.84082,0.009604,0.009604,0.009604
