epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4859,1.86364,4.64887,1.87776,0.57885,0.54369,0.53546,0.24724,1.71932,1.43313,1.70271,0.0687103,0.00164683,0.00164683
2,33.803,1.50781,1.52502,1.54651,0.78842,0.5534,0.62485,0.31846,1.69496,1.33813,1.50877,0.0370272,0.00329709,0.00329709
3,49.2991,1.42596,1.44449,1.47296,0.55616,0.54369,0.47795,0.27356,1.68713,1.41292,1.55978,0.00532768,0.00493086,0.00493086
4,65.0446,1.53732,1.58767,1.5286,0.59033,0.53398,0.49679,0.22047,1.72875,1.97967,1.56253,0.00492575,0.00492575,0.00492575
5,81.1775,1.57726,1.64022,1.56512,0.59561,0.65779,0.53455,0.24471,1.70569,1.54028,1.59656,0.004901,0.004901,0.004901
6,95.4504,1.55767,1.57671,1.5668,0.59148,0.64078,0.54846,0.2695,1.73006,1.53481,1.50175,0.00487625,0.00487625,0.00487625
7,111.165,1.5732,1.58424,1.5489,0.73181,0.56311,0.63137,0.26909,1.77787,1.55565,1.64416,0.0048515,0.0048515,0.0048515
8,126.044,1.52466,1.47663,1.53085,0.73475,0.69903,0.64656,0.31752,1.63927,1.45323,1.47137,0.00482675,0.00482675,0.00482675
9,140.605,1.56389,1.55499,1.55913,0.66474,0.53904,0.5307,0.24605,1.72627,1.51604,1.56492,0.004802,0.004802,0.004802
10,155.286,1.47881,1.45758,1.49934,0.70152,0.63892,0.66118,0.30894,1.69922,1.29119,1.6181,0.00477725,0.00477725,0.00477725
11,169.898,1.49452,1.43732,1.49298,0.78268,0.62136,0.65863,0.33187,1.69598,1.36121,1.60068,0.0047525,0.0047525,0.0047525
12,184.75,1.46699,1.37095,1.49279,0.92659,0.65049,0.72099,0.34141,1.68352,1.30362,1.46521,0.00472775,0.00472775,0.00472775
13,199.402,1.42281,1.30562,1.44048,0.66655,0.71845,0.66086,0.37383,1.59955,1.28968,1.40883,0.004703,0.004703,0.004703
14,214.787,1.43822,1.30489,1.45044,0.72261,0.68289,0.63576,0.34154,1.6643,1.21621,1.48385,0.00467825,0.00467825,0.00467825
15,229.768,1.40131,1.29488,1.41385,0.77502,0.70239,0.69977,0.3804,1.581,1.12934,1.40111,0.0046535,0.0046535,0.0046535
16,245.543,1.42486,1.27977,1.44826,0.86039,0.6699,0.72916,0.37743,1.57879,1.17307,1.40452,0.00462875,0.00462875,0.00462875
17,259.616,1.36896,1.244,1.43087,0.69457,0.65049,0.63965,0.32886,1.75311,1.39822,1.53645,0.004604,0.004604,0.004604
18,274.925,1.35219,1.21085,1.40428,0.72563,0.6699,0.65223,0.34051,1.62257,1.19819,1.42201,0.00457925,0.00457925,0.00457925
19,290.059,1.40682,1.26524,1.44047,0.84112,0.64078,0.70366,0.34836,1.56349,1.1955,1.42777,0.0045545,0.0045545,0.0045545
20,304.802,1.34511,1.16828,1.38614,0.85877,0.63107,0.69959,0.38203,1.48348,1.19163,1.40386,0.00452975,0.00452975,0.00452975
