epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3331,2.26308,4.24118,2.23694,0.42725,0.63735,0.51266,0.22691,1.50351,1.7013,1.6169,0.0690873,0.00162698,0.00162698
2,34.7146,1.61871,1.93957,1.65764,0.73928,0.74757,0.7191,0.3763,1.34286,1.19356,1.34735,0.0374043,0.00327735,0.00327735
3,52.4989,1.50832,1.62861,1.54995,0.65082,0.65049,0.61474,0.34646,1.41975,1.29107,1.50005,0.00570486,0.00491121,0.00491121
4,69.4862,1.46647,1.4465,1.51956,0.83027,0.72816,0.77255,0.41995,1.48588,1.03904,1.46686,0.00492575,0.00492575,0.00492575
5,87.4811,1.40973,1.22181,1.47313,0.76408,0.69903,0.72466,0.35462,1.58499,1.3177,1.65323,0.004901,0.004901,0.004901
6,104.906,1.39271,1.1315,1.45829,0.77957,0.67961,0.68153,0.34432,1.70751,1.19402,1.67439,0.00487625,0.00487625,0.00487625
7,122.139,1.42294,1.2187,1.46588,0.66464,0.73786,0.68646,0.35749,1.61909,1.18758,1.62658,0.0048515,0.0048515,0.0048515
8,139.491,1.3437,1.08277,1.4575,0.84686,0.6699,0.70454,0.34267,1.74687,1.12378,1.81835,0.00482675,0.00482675,0.00482675
9,156.839,1.31282,0.98458,1.39947,0.8305,0.64078,0.6639,0.32101,1.76591,1.24988,1.71413,0.004802,0.004802,0.004802
10,174.254,1.32315,1.00134,1.38752,0.8369,0.71845,0.75135,0.40125,1.60765,1.02052,1.5577,0.00477725,0.00477725,0.00477725
11,191.63,1.22775,0.95313,1.32551,0.78475,0.69903,0.74646,0.3711,1.67388,0.97243,1.64869,0.0047525,0.0047525,0.0047525
12,209.005,1.24735,0.96228,1.38117,0.73001,0.70874,0.74264,0.36549,1.68305,1.10068,1.67434,0.00472775,0.00472775,0.00472775
13,226.413,1.25179,0.9395,1.40006,0.79543,0.67961,0.73461,0.37606,1.57136,1.00446,1.61152,0.004703,0.004703,0.004703
14,243.805,1.22008,0.89594,1.35005,0.76832,0.68932,0.7183,0.3644,1.63548,1.18428,1.68193,0.00467825,0.00467825,0.00467825
15,261.232,1.19657,0.92933,1.34518,0.83807,0.70348,0.76488,0.40094,1.64187,1.05204,1.66818,0.0046535,0.0046535,0.0046535
