epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8193,1.47083,2.42025,1.69309,0.78161,0.74372,0.83793,0.56398,1.15459,0.94373,1.37305,0.0703371,0.00329588,0.00329588
2,120.571,1.21708,1.12466,1.44953,0.71978,0.60925,0.66535,0.40694,1.46515,2.04347,1.60934,0.0403365,0.00662865,0.00662865
3,178.287,1.39031,1.39572,1.54564,0.20226,0.0995,0.07852,0.03663,2.53009,6.7634,2.87912,0.0103337,0.00995918,0.00995918
4,230.792,1.61576,1.66069,1.69795,0.15848,0.16884,0.08733,0.03969,2.27489,11.0401,2.60812,0.00999239,0.00999239,0.00999239
5,283.479,1.55129,1.58484,1.66298,0.63835,0.53574,0.58777,0.32145,1.70531,2.02582,1.83114,0.00998648,0.00998648,0.00998648
6,336.915,1.49608,1.50244,1.62599,0.64063,0.37688,0.43246,0.25289,1.82778,2.37754,1.96235,0.00997888,0.00997888,0.00997888
7,395.122,1.47205,1.40217,1.59542,0.77477,0.69648,0.76908,0.47744,1.4077,1.59935,1.5602,0.0099696,0.0099696,0.0099696
8,451.935,1.42227,1.34034,1.56374,0.80622,0.71256,0.80466,0.5084,1.36985,1.30475,1.48997,0.00995864,0.00995864,0.00995864
9,504.274,1.41531,1.28006,1.5458,0.78455,0.65876,0.74384,0.44049,1.51873,1.31754,1.62371,0.009946,0.009946,0.009946
10,557.289,1.37557,1.2487,1.52931,0.79316,0.72161,0.80082,0.52431,1.33568,1.12751,1.48018,0.00993169,0.00993169,0.00993169
11,609.004,1.34062,1.16863,1.48327,0.8368,0.74975,0.84137,0.53719,1.30169,1.05135,1.45196,0.00991572,0.00991572,0.00991572
12,664.086,1.31063,1.14565,1.46925,0.83256,0.79454,0.86838,0.578,1.25756,0.90661,1.4309,0.00989808,0.00989808,0.00989808
13,720.699,1.2814,1.10614,1.45007,0.86234,0.75477,0.85598,0.56079,1.27338,0.96785,1.41963,0.00987878,0.00987878,0.00987878
14,772.937,1.2799,1.0893,1.44943,0.88035,0.83216,0.90391,0.60373,1.19833,0.85031,1.36453,0.00985784,0.00985784,0.00985784
15,828.1,1.2471,1.04727,1.42115,0.88842,0.81005,0.90111,0.60663,1.20324,0.86327,1.3878,0.00983526,0.00983526,0.00983526
16,884.621,1.24751,1.05866,1.42182,0.89908,0.82111,0.9128,0.60771,1.2072,0.84175,1.36794,0.00981104,0.00981104,0.00981104
17,936.855,1.22597,1.0107,1.40148,0.89276,0.84322,0.91788,0.63935,1.14488,0.75877,1.34502,0.00978519,0.00978519,0.00978519
18,988.995,1.2031,1.00968,1.39702,0.88063,0.84422,0.92291,0.63407,1.19247,0.75272,1.33758,0.00975773,0.00975773,0.00975773
19,1041.41,1.19508,0.99305,1.39411,0.9085,0.83818,0.92787,0.64193,1.11907,0.71256,1.30519,0.00972866,0.00972866,0.00972866
20,1098.63,1.19315,0.94235,1.38648,0.90703,0.853,0.92831,0.64143,1.15749,0.71623,1.33636,0.00969799,0.00969799,0.00969799
21,1152.45,1.16211,0.90432,1.34822,0.9169,0.84273,0.92035,0.6434,1.10989,0.74216,1.31274,0.00966574,0.00966574,0.00966574
22,1205.85,1.15374,0.92467,1.36127,0.90966,0.86432,0.93925,0.64781,1.14624,0.71083,1.32008,0.00963191,0.00963191,0.00963191
23,1261.08,1.14729,0.90863,1.35048,0.91859,0.88744,0.94139,0.67157,1.08491,0.64307,1.27628,0.00959651,0.00959651,0.00959651
24,1316.81,1.13725,0.89138,1.34318,0.90923,0.86332,0.93617,0.65926,1.1152,0.68427,1.3174,0.00955956,0.00955956,0.00955956
25,1373.37,1.12462,0.87862,1.32585,0.92991,0.88009,0.94916,0.67124,1.09982,0.61553,1.28375,0.00952107,0.00952107,0.00952107
26,1426.91,1.14557,0.90391,1.34371,0.91074,0.90242,0.95276,0.68131,1.06762,0.62677,1.26502,0.00948106,0.00948106,0.00948106
27,1480.04,1.13402,0.89589,1.34445,0.89643,0.91342,0.9567,0.6808,1.0755,0.63309,1.25368,0.00943953,0.00943953,0.00943953
28,1532.25,1.12646,0.8618,1.32483,0.9307,0.8603,0.94157,0.67785,1.06426,0.64404,1.26333,0.0093965,0.0093965,0.0093965
29,1584.51,1.12379,0.8741,1.3345,0.93401,0.90251,0.95844,0.68252,1.07428,0.61133,1.26521,0.00935199,0.00935199,0.00935199
30,1637.91,1.13409,0.8662,1.33916,0.91637,0.88101,0.94517,0.67865,1.0558,0.60934,1.25506,0.00930601,0.00930601,0.00930601
31,1692.12,1.10069,0.82791,1.31774,0.93602,0.86432,0.95031,0.67418,1.09786,0.58526,1.27197,0.00925857,0.00925857,0.00925857
32,1744.6,1.09624,0.85696,1.30797,0.95604,0.87419,0.95888,0.69086,1.03906,0.58695,1.24332,0.0092097,0.0092097,0.0092097
33,1796.75,1.07736,0.83565,1.2934,0.92764,0.91477,0.95736,0.69129,1.03704,0.56443,1.2472,0.00915941,0.00915941,0.00915941
34,1849.24,1.09731,0.82284,1.30528,0.93314,0.90955,0.96061,0.69454,1.04637,0.55815,1.24242,0.00910772,0.00910772,0.00910772
35,1903.46,1.08286,0.80941,1.30136,0.93149,0.90452,0.96036,0.68908,1.04598,0.56704,1.24137,0.00905463,0.00905463,0.00905463
36,1957.94,1.07435,0.80821,1.29484,0.94346,0.89648,0.96187,0.69008,1.06348,0.56891,1.24509,0.00900019,0.00900019,0.00900019
37,2017.33,1.0618,0.77543,1.28372,0.91657,0.90955,0.96017,0.69314,1.05911,0.56375,1.24344,0.00894439,0.00894439,0.00894439
38,2071.71,1.04429,0.78187,1.27839,0.94587,0.88945,0.96252,0.69885,1.02536,0.56791,1.22306,0.00888726,0.00888726,0.00888726
39,2124.2,1.05477,0.7922,1.28417,0.94252,0.91859,0.9659,0.71246,0.99839,0.53343,1.21906,0.00882882,0.00882882,0.00882882
40,2176.36,1.04178,0.77138,1.27624,0.94347,0.91156,0.96607,0.70562,1.0207,0.54138,1.21678,0.00876909,0.00876909,0.00876909
41,2228.37,1.04531,0.76952,1.28336,0.95027,0.90256,0.96072,0.70439,1.01914,0.53844,1.21736,0.00870809,0.00870809,0.00870809
42,2281.13,1.02609,0.76096,1.2614,0.92577,0.9276,0.96736,0.6984,1.00772,0.54577,1.22933,0.00864585,0.00864585,0.00864585
43,2335.32,1.01954,0.74018,1.25543,0.93243,0.90754,0.96003,0.69866,1.03787,0.54563,1.23547,0.00858237,0.00858237,0.00858237
44,2387.53,1.03629,0.75444,1.2647,0.92569,0.92644,0.96532,0.7079,1.01314,0.54067,1.21082,0.00851769,0.00851769,0.00851769
45,2439.61,1.04657,0.75552,1.27893,0.93657,0.92764,0.96788,0.71555,1.00685,0.50909,1.22046,0.00845182,0.00845182,0.00845182
46,2492.04,1.01502,0.73757,1.26322,0.9355,0.92563,0.96829,0.71378,1.00281,0.51322,1.21119,0.00838479,0.00838479,0.00838479
47,2546.16,1.02921,0.74075,1.26396,0.95168,0.91156,0.96718,0.70125,1.02564,0.51786,1.22121,0.00831663,0.00831663,0.00831663
48,2599.49,1.01481,0.72619,1.25689,0.91984,0.93421,0.96784,0.71384,0.99908,0.50824,1.19897,0.00824734,0.00824734,0.00824734
49,2651.63,0.99062,0.69189,1.22315,0.93144,0.92849,0.96694,0.71623,0.98555,0.50786,1.20558,0.00817697,0.00817697,0.00817697
50,2707.09,0.99593,0.71258,1.23356,0.95151,0.92683,0.97511,0.72378,0.98007,0.48725,1.19373,0.00810553,0.00810553,0.00810553
51,2761.81,1.00219,0.70709,1.24434,0.94953,0.92648,0.97176,0.71435,1.02076,0.49295,1.20789,0.00803304,0.00803304,0.00803304
52,2824.98,0.99043,0.71719,1.23778,0.93965,0.92321,0.96939,0.71433,0.99458,0.50394,1.19685,0.00795954,0.00795954,0.00795954
53,2879.41,0.96151,0.66857,1.21981,0.92057,0.9319,0.97116,0.72356,0.99758,0.5006,1.20573,0.00788504,0.00788504,0.00788504
54,2931.33,0.99133,0.68992,1.23151,0.9497,0.92462,0.97298,0.72946,0.97771,0.49387,1.20088,0.00780957,0.00780957,0.00780957
55,2983.88,0.9728,0.67339,1.22068,0.94448,0.94039,0.97395,0.7282,0.96553,0.46122,1.18673,0.00773316,0.00773316,0.00773316
56,3035.85,0.97645,0.68225,1.21616,0.94912,0.93739,0.97327,0.7172,0.99474,0.4703,1.21441,0.00765584,0.00765584,0.00765584
57,3089.24,0.96608,0.6653,1.22071,0.9524,0.93166,0.97097,0.71741,0.98807,0.47817,1.20735,0.00757762,0.00757762,0.00757762
